/var/spool/sge/node167/job_scripts/36378 - Theta X range: -22 to 22; Theta Y range:  -22 to 22
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Fri Nov  6 17:02:45 GMT 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
54,1,-11.000000/9.000000/0.000000,22,36,0.979070,20.974965,34.474647,-10.971500(0.074240)/9.079842(0.072429)/-0.092038(0.022228)
50,2,-11.000000/9.000000/0.000000,22,36,0.608834,20.974965,34.474647,-10.971500(0.074240)/9.079842(0.072429)/-0.092038(0.022228)
57,3,-11.000000/9.000000/0.000000,22,36,0.222401,20.974965,34.474647,-10.971500(0.074240)/9.079842(0.072429)/-0.092038(0.022228)
54,1,-11.000000/-3.000000/0.000000,28,34,1.202480,27.063768,32.314425,-10.883850(0.113011)/-2.990793(0.062098)/-0.055150(0.021314)
52,2,-11.000000/-3.000000/0.000000,28,34,0.459557,27.063768,32.314425,-10.883850(0.113011)/-2.990793(0.062098)/-0.055150(0.021314)
57,3,-11.000000/-3.000000/0.000000,28,34,0.213355,27.063768,32.314425,-10.883850(0.113011)/-2.990793(0.062098)/-0.055150(0.021314)
54,1,-10.000000/-9.000000/0.000000,31,36,0.946119,29.910430,34.303459,-10.063700(0.087841)/-8.983806(0.080749)/0.157378(0.006194)
52,2,-10.000000/-9.000000/0.000000,31,36,0.928686,29.910430,34.303459,-10.063700(0.087841)/-8.983806(0.080749)/0.157378(0.006194)
57,3,-10.000000/-9.000000/0.000000,31,36,0.147309,29.910430,34.303459,-10.063700(0.087841)/-8.983806(0.080749)/0.157378(0.006194)
54,1,-10.000000/-11.000000/0.000000,32,38,1.040259,30.362005,35.781238,-9.858206(0.256196)/-10.938788(0.061761)/0.033708(0.003867)
52,2,-10.000000/-11.000000/0.000000,32,38,1.302983,30.362005,35.781238,-9.858206(0.256196)/-10.938788(0.061761)/0.033708(0.003867)
57,3,-10.000000/-11.000000/0.000000,32,38,0.155660,30.362005,35.781238,-9.858206(0.256196)/-10.938788(0.061761)/0.033708(0.003867)
54,1,-10.000000/-3.000000/0.000000,28,32,0.956474,27.355624,31.074125,-9.884640(0.097534)/-2.949579(0.029633)/0.056953(0.005034)
52,2,-10.000000/-3.000000/0.000000,28,32,0.406560,27.355624,31.074125,-9.884640(0.097534)/-2.949579(0.029633)/0.056953(0.005034)
57,3,-10.000000/-3.000000/0.000000,28,32,0.176437,27.355624,31.074125,-9.884640(0.097534)/-2.949579(0.029633)/0.056953(0.005034)
54,1,-10.000000/-7.000000/0.000000,30,35,0.872653,29.153010,33.376580,-9.936975(0.064364)/-7.039356(0.058898)/0.153952(0.006017)
52,2,-10.000000/-7.000000/0.000000,30,35,0.708221,29.153010,33.376580,-9.936975(0.064364)/-7.039356(0.058898)/0.153952(0.006017)
57,3,-10.000000/-7.000000/0.000000,30,35,0.147941,29.153010,33.376580,-9.936975(0.064364)/-7.039356(0.058898)/0.153952(0.006017)
54,1,-10.000000/2.000000/0.000000,25,32,0.768160,24.039508,30.566368,-9.922664(0.098463)/2.016848(0.026834)/0.056187(0.004864)
50,2,-10.000000/2.000000/0.000000,25,32,0.100688,24.039508,30.566368,-9.922664(0.098463)/2.016848(0.026834)/0.056187(0.004864)
57,3,-10.000000/2.000000/0.000000,25,32,0.169863,24.039508,30.566368,-9.922664(0.098463)/2.016848(0.026834)/0.056187(0.004864)
54,1,-10.000000/-5.000000/0.000000,29,33,0.842103,28.234302,32.063993,-9.846814(0.506755)/-4.658410(0.232328)/0.065022(0.026093)
52,2,-10.000000/-5.000000/0.000000,29,33,0.499239,28.234302,32.063993,-9.846814(0.506755)/-4.658410(0.232328)/0.065022(0.026093)
57,3,-10.000000/-5.000000/0.000000,29,33,0.159153,28.234302,32.063993,-9.846814(0.506755)/-4.658410(0.232328)/0.065022(0.026093)
54,1,-10.000000/-8.000000/0.000000,31,35,0.911717,29.562605,33.768076,-9.963039(0.046161)/-8.037610(0.050670)/-0.140008(0.006671)
